Comments,Retweets,Likes,Bookmarks,Views,Link,User,Engagement_Total
4,1,26,15,2122,https://x.com/TallesFi/status/1884258965581648034/photo/1,TallesFi,2216
3,1,21,2,1492,https://x.com/Claramente23223/status/1883970170068299897,Claramente23223,1557
1,1,27,0,933,https://x.com/eofeldima/status/1883414097049633161/photo/1,eofeldima,996
2,0,27,1,842,https://x.com/eofeldima/status/1882844657979363446/photo/1,eofeldima,909
3,1,11,1,698,https://x.com/batatrader/status/1883882092368482682,batatrader,742
3,1,15,1,579,https://x.com/liaagrslv/status/1884723895166787783,liaagrslv,631
7,1,14,5,511,https://x.com/zillinft/status/1885044376776114428/photo/1,zillinft,589
2,0,9,3,423,https://x.com/Satoukibijusu/status/1883961707263127872/photo/1,Satoukibijusu,456
2,0,14,1,221,https://x.com/makarov_ET/status/1884673787641090270/photo/1,makarov_ET,262
5,2,16,3,182,https://x.com/zenderman100/status/1885125981230301570/photo/1,zenderman100,253
1,0,7,0,229,https://x.com/s3_nds/status/1884326773695078589/photo/1,s3_nds,249
2,0,6,2,213,https://x.com/renatocardosos7/status/1883178644513734970/photo/1,renatocardosos7,239
1,1,9,0,208,https://x.com/may_verse/status/1885148024315207782/photo/1,may_verse,235
1,0,7,0,193,https://x.com/0xposseidon/status/1883897731821056077/photo/1,0xposseidon,213
1,0,6,2,179,https://x.com/renanweb3/status/1884375359065387021/photo/1,renanweb3,199
2,0,7,2,155,https://x.com/DjowElegance/status/1884330659734511926/photo/1,DjowElegance,183
1,0,6,1,149,https://x.com/rafael_edita/status/1885120488583622883,rafael_edita,168
2,1,9,3,116,https://x.com/Sifr_TTKO/status/1884032834291261618,Sifr_TTKO,152
1,2,5,0,114,https://x.com/s3_nds/status/1882165543139946732/history,s3_nds,136
1,1,2,0,101,https://x.com/Despatrickster/status/1883331547753029777,Despatrickster,114
1,0,6,0,67,https://x.com/mageSool/status/1885115909121204295/photo/1,mageSool,85
1,0,4,0,65,https://x.com/0xBari/status/1884613702365634788,0xBari,79
1,0,5,0,55,https://x.com/romanjho/status/1883994301522420179/photo/1,romanjho,71
0,0,2,0,48,https://x.com/Despatrickster/status/1884320850868064315,Despatrickster,52
0,0,2,1,31,https://x.com/lima_bboy/status/1884352319417929733,lima_bboy,36
1,0,0,0,14,https://x.com/Lorenciokkk/status/1885117099531448548/photo/1,Lorenciokkk,20
