Comments,Retweets,Likes,Bookmarks,Views,Link,User,Engagement_Total
3,0,18,2,972,https://x.com/Claramente23223/status/1883970170068299897,Claramente23223,1028
1,1,27,0,925,https://x.com/eofeldima/status/1883414097049633161/photo/1,eofeldima,988
2,0,27,1,836,https://x.com/eofeldima/status/1882844657979363446/photo/1,eofeldima,903
3,1,11,1,658,https://x.com/batatrader/status/1883882092368482682,batatrader,702
3,1,14,1,449,https://x.com/liaagrslv/status/1884723895166787783,liaagrslv,499
2,0,8,3,406,https://x.com/Satoukibijusu/status/1883961707263127872/photo/1,Satoukibijusu,437
2,0,14,1,198,https://x.com/makarov_ET/status/1884673787641090270/photo/1,makarov_ET,239
1,0,6,0,216,https://x.com/s3_nds/status/1884326773695078589/photo/1,s3_nds,234
2,0,5,1,203,https://x.com/renatocardosos7/status/1883178644513734970/photo/1,renatocardosos7,226
1,0,7,0,174,https://x.com/0xposseidon/status/1883897731821056077/photo/1,0xposseidon,194
1,0,5,2,167,https://x.com/renanweb3/status/1884375359065387021/photo/1,renanweb3,185
2,0,6,2,143,https://x.com/DjowElegance/status/1884330659734511926/photo/1,DjowElegance,169
2,1,9,3,107,https://x.com/Sifr_TTKO/status/1884032834291261618,Sifr_TTKO,143
1,2,5,0,109,https://x.com/s3_nds/status/1882165543139946732/history,s3_nds,131
1,1,2,0,81,https://x.com/Despatrickster/status/1883331547753029777,Despatrickster,94
1,0,3,0,57,https://x.com/0xBari/status/1884613702365634788,0xBari,69
1,0,4,0,48,https://x.com/romanjho/status/1883994301522420179/photo/1,romanjho,62
0,0,1,0,42,https://x.com/Despatrickster/status/1884320850868064315,Despatrickster,44
0,0,2,1,25,https://x.com/lima_bboy/status/1884352319417929733,lima_bboy,30
